category;subcategory;level;question;correct;wrong1;wrong2
Bajki i Legendy;Polskie Legendy;średnie;Co według legendy rzucił szewczyk Dratewka pod nogi smokowi?;Skórę barana z siarką;Kamień;Worek mąki
Bajki i Legendy;Postacie;łatwe;Jak nazywa się drewniany pajacyk, któremu rośnie nos, gdy kłamie?;Pinokio;Piotruś Pan;Kubuś Puchatek
Bajki i Legendy;Klasyka;średnie;W co zamienił się brzydki kaczorek w bajce Andersena?;W łabędzia;W gęś;W indyka
Bajki i Legendy;Postacie;łatwe;Jak ma na imię mały piesek z plamką, który ma własną bajkę?;Reksio;Burek;Pikuś
Bajki i Legendy;Klasyka;średnie;Jakiego koloru był kapturek dziewczynki, która szła do babci?;Czerwonego;Niebieskiego;Zielonego
Bajki i Legendy;Superbohaterowie;średnie;Który superbohater jest bardzo silny, zielony i złości się, gdy walczy?;Hulk;Iron Man;Batman
Polska i Świat;Symbole;łatwe;Jak nazywa się polski taniec narodowy, w którym tancerze szybko wirują?;Krakowiak;Balet;Taniec nowoczesny
Polska i Świat;Geografia;średnie;Jak nazywa się kraina w Polsce, gdzie jest bardzo dużo jezior?;Mazury;Góry;Pustynia
Polska i Świat;Tradycje;łatwe;Co robimy w wieczór 24 grudnia przed jedzeniem kolacji?;Dzielimy się opłatkiem;Malujemy jajka;Puszczamy fajerwerki
Polska i Świat;Miasta;średnie;Jak nazywa się miasto nad morzem, w którym znajduje się słynny dźwig Żuraw?;Gdańsk;Kraków;Zakopane
Codzienne Odkrycia;Czas;łatwe;Co następuje zaraz po wieczorze, gdy idziemy spać?;Noc;Południe;Rano
Codzienne Odkrycia;Czas;średnie;Jak nazywa się dzień, który był wczoraj (dzień przed dzisiejszym)?;Wczoraj;Jutro;Pojutrze
Codzienne Odkrycia;Pogoda;średnie;Co musimy wziąć z domu, gdy na dworze mocno wieje i pada deszcz?;Parasol;Okulary przeciwsłoneczne;Wiatraczek
Codzienne Odkrycia;Kosmos;średnie;Która planeta ma wokół siebie wielkie, widoczne pierścienie?;Saturn;Ziemia;Mars
Codzienne Odkrycia;Ciało;średnie;Czym czujesz, że jedzenie jest słodkie lub słone?;Językiem;Nosem;Palcami
Codzienne Odkrycia;Higiena;łatwe;Czym wycieramy ciało po kąpieli, żeby być suchym?;Ręcznikiem;Kocem;Ubraniem
Kulinaria;Jedzenie;średnie;Z czego robi się tradycyjne polskie pierogi?;Z ciasta i farszu;Z cukierków;Z trawy
Kulinaria;Jedzenie;łatwe;Jaki kolor ma banan, gdy jest już dobry do zjedzenia?;Żółty;Fioletowy;Zielony
Kulinaria;Jedzenie;średnie;Co jest potrzebne, żeby herbata była słodka?;Cukier lub miód;Sól;Pieprz
Bezpieczeństwo;Ruch drogowy;średnie;Gdzie powinniśmy iść, jeśli nie ma chodnika?;Początkowo lewą stroną drogi;Środkiem;Prawą stroną
Bezpieczeństwo;Numery;średnie;Jak nazywa się auto, które przewozi chorych ludzi do szpitala?;Ambulans (Karetka);Radiowóz;Śmieciarka
Zawody;Praca;średnie;Kto sprawdza nasze oczy i dobiera okulary?;Okulista;Dentysta;Weterynarz
Zawody;Praca;średnie;Kto pracuje w kopalni głęboko pod ziemią?;Górnik;Marynarz;Rolnik
Sport;Zabawa;łatwe;Na czym zjeżdżamy na placu zabaw, siedząc na górze?;Na zjeżdżalni;Na huśtawce;W piaskownicy
Sport;Zabawa;średnie;Ilu graczy gra w tenisa przeciwko sobie w meczu pojedynczym?;Dwóch;Dziesięciu;Jeden
Przyroda;Zwierzęta;średnie;Jak nazywa się największy ptak świata, który ma bardzo długie nogi i nie potrafi latać?;Struś;Bocian;Orzeł
Przyroda;Zwierzęta;łatwe;Który owad ma skrzydła w kolorowe wzory i najpierw był gąsienicą?;Motyl;Mucha;Pszczoła
Przyroda;Zwierzęta;średnie;Jak nazywa się samiec kury, który budzi wszystkich rano swoim pianiem?;Kogut;Indyk;Kaczor
Przyroda;Zwierzęta;łatwe;Gdzie mieszkają dzikie zwierzęta, które możemy odwiedzić w mieście?;W ZOO;W kinie;W sklepie
Przyroda;Las;średnie;Jak nazywa się młody las, w którym rosną małe drzewka?;Młodnik;Pustynia;Łąka
Przyroda;Las;łatwe;Które leśne zwierzę ma rude futro i bardzo puszysty ogon?;Lis;Wilk;Dzik
Przyroda;Morze;średnie;Jak nazywa się czerwone zwierzę z kleszczami, które chodzi po dnie boczkiem?;Krab;Ryba;Meduza
